"Story","Title","Result","Date","Stability","Duration (s)"
"Manage Cart","View Cart Detail (filled)","SUCCESS","2022-10-31T20:36:47.3112784+07:00[Asia/Jakarta]","0.0","15.38"
"Manage Cart","View Cart Detail (empty)","SUCCESS","2022-10-31T20:37:03.5844427+07:00[Asia/Jakarta]","0.0","4.56"
"Manage Cart","Delete Product From Cart","SUCCESS","2022-10-31T20:37:08.8969155+07:00[Asia/Jakarta]","0.0","6.46"
"Manage Cart","Add Product Quantity","SUCCESS","2022-10-31T20:37:16.0502504+07:00[Asia/Jakarta]","0.0","8.1"
"Manage Cart","Reduce Product Quantity","SUCCESS","2022-10-31T20:37:24.8653657+07:00[Asia/Jakarta]","0.0","7.22"
"Login","Show Login Page","SUCCESS","2022-10-31T20:37:32.765203+07:00[Asia/Jakarta]","0.0","3.51"
"Login","Login with username and password","SUCCESS","2022-10-31T20:37:36.9122051+07:00[Asia/Jakarta]","0.0","38.47"
"Logout","Logout","SUCCESS","2022-10-31T20:38:15.3906109+07:00[Asia/Jakarta]","0.0","10.16"
"Manage Product","Show Product List","SUCCESS","2022-10-31T20:38:26.2778322+07:00[Asia/Jakarta]","0.0","6.61"
"Manage Product","Select Category","SUCCESS","2022-10-31T20:38:33.5647499+07:00[Asia/Jakarta]","0.0","4.37"
"Manage Product","View Product Detail","SUCCESS","2022-10-31T20:38:38.7252425+07:00[Asia/Jakarta]","0.0","6.89"
"Manage Product","Add Product to Cart","SUCCESS","2022-10-31T20:38:46.3595731+07:00[Asia/Jakarta]","0.0","5.0"
"Register","Open Register Page","SUCCESS","2022-10-31T20:38:52.0902597+07:00[Asia/Jakarta]","0.0","3.55"
"Register","Register with new email","SUCCESS","2022-10-31T20:38:56.3712086+07:00[Asia/Jakarta]","0.0","6.49"
"Register","Register with registered email","SUCCESS","2022-10-31T20:39:03.5579963+07:00[Asia/Jakarta]","0.0","6.05"
"Register","Register with username and email","SUCCESS","2022-10-31T20:39:10.2702086+07:00[Asia/Jakarta]","0.0","28.72"
"Transaction","Pay Products as logged in user","SUCCESS","2022-10-31T20:39:39.0074391+07:00[Asia/Jakarta]","0.0","9.69"
"Transaction","Pay Products as anon user","SUCCESS","2022-10-31T20:39:49.4812216+07:00[Asia/Jakarta]","0.0","0.05"
"Transaction","View Transaction List","SUCCESS","2022-10-31T20:39:49.5470175+07:00[Asia/Jakarta]","0.0","6.17"
