"Story","Title","Result","Date","Stability","Duration (s)"
"Manage Cart","View Cart Detail (empty)","SUCCESS","2022-11-04T21:25:15.6890278+07:00[Asia/Jakarta]","0.0","3.99"
"Manage Cart","Delete Product From Cart","SUCCESS","2022-11-04T21:25:20.4519897+07:00[Asia/Jakarta]","0.0","7.91"
"Manage Cart","Add Product Quantity","SUCCESS","2022-11-04T21:25:29.194695+07:00[Asia/Jakarta]","0.0","8.58"
"Manage Cart","Reduce Product Quantity","SUCCESS","2022-11-04T21:25:38.5423156+07:00[Asia/Jakarta]","0.0","8.03"
"Login","Show Login Page","SUCCESS","2022-11-04T21:25:47.3782148+07:00[Asia/Jakarta]","0.0","3.96"
"Login","Login with registered email and password","SUCCESS","2022-11-04T21:25:51.9935791+07:00[Asia/Jakarta]","0.0","6.87"
"Login","Login with email and password","SUCCESS","2022-11-04T21:25:59.5850917+07:00[Asia/Jakarta]","0.0","32.74"
"Logout","Logout","SUCCESS","2022-11-04T21:26:32.3538845+07:00[Asia/Jakarta]","0.0","4.72"
"Manage Product","Show Product List","SUCCESS","2022-11-04T21:26:37.7252454+07:00[Asia/Jakarta]","0.0","6.5"
"Manage Product","Select Category","SUCCESS","2022-11-04T21:26:44.9109695+07:00[Asia/Jakarta]","0.0","3.52"
"Manage Product","View Product Detail","SUCCESS","2022-11-04T21:26:49.1156824+07:00[Asia/Jakarta]","0.0","7.03"
"Manage Product","Add Product to Cart","SUCCESS","2022-11-04T21:26:56.85276+07:00[Asia/Jakarta]","0.0","7.12"
"Register","Open Register Page","SUCCESS","2022-11-04T21:27:04.6969058+07:00[Asia/Jakarta]","0.0","3.46"
"Register","Register with new email","SUCCESS","2022-11-04T21:27:08.7967184+07:00[Asia/Jakarta]","0.0","5.52"
"Register","Register with registered email","SUCCESS","2022-11-04T21:27:14.9734213+07:00[Asia/Jakarta]","0.0","5.71"
"Register","Register with username and email","SUCCESS","2022-11-04T21:27:21.3137873+07:00[Asia/Jakarta]","0.0","24.96"
"Transaction","Pay Products as logged in user","SUCCESS","2022-11-04T21:27:46.2918306+07:00[Asia/Jakarta]","0.0","7.97"
"Transaction","View Transaction List","SUCCESS","2022-11-04T21:27:54.990046+07:00[Asia/Jakarta]","0.0","4.92"
