"Story","Title","Result","Date","Stability","Duration (s)"
"Manage Cart","View Cart Detail (empty)","SUCCESS","2022-11-03T21:12:00.0395645+07:00[Asia/Jakarta]","0.0","6.04"
"Manage Cart","Delete Product From Cart","SUCCESS","2022-11-03T21:12:06.7882157+07:00[Asia/Jakarta]","0.0","7.41"
"Manage Cart","Add Product Quantity","SUCCESS","2022-11-03T21:12:14.9423642+07:00[Asia/Jakarta]","0.0","7.86"
"Manage Cart","Reduce Product Quantity","SUCCESS","2022-11-03T21:12:23.5429683+07:00[Asia/Jakarta]","0.0","8.07"
"Login","Show Login Page","SUCCESS","2022-11-03T21:12:32.2975911+07:00[Asia/Jakarta]","0.0","3.46"
"Login","Login with registered email and password","SUCCESS","2022-11-03T21:12:36.4293892+07:00[Asia/Jakarta]","0.0","5.78"
"Login","Login with email and password","SUCCESS","2022-11-03T21:12:42.9447315+07:00[Asia/Jakarta]","0.0","58.15"
"Logout","Logout","SUCCESS","2022-11-03T21:13:41.1071889+07:00[Asia/Jakarta]","0.0","5.71"
"Manage Product","Show Product List","SUCCESS","2022-11-03T21:13:47.5093566+07:00[Asia/Jakarta]","0.0","7.04"
"Manage Product","Select Category","SUCCESS","2022-11-03T21:13:55.2478066+07:00[Asia/Jakarta]","0.0","5.18"
"Manage Product","View Product Detail","SUCCESS","2022-11-03T21:14:01.2054105+07:00[Asia/Jakarta]","0.0","8.5"
"Manage Product","Add Product to Cart","SUCCESS","2022-11-03T21:14:10.4492023+07:00[Asia/Jakarta]","0.0","6.56"
"Register","Open Register Page","SUCCESS","2022-11-03T21:14:17.6917503+07:00[Asia/Jakarta]","0.0","3.48"
"Register","Register with new email","SUCCESS","2022-11-03T21:14:21.8124446+07:00[Asia/Jakarta]","0.0","5.87"
"Register","Register with registered email","SUCCESS","2022-11-03T21:14:28.3346418+07:00[Asia/Jakarta]","0.0","8.17"
"Register","Register with username and email","SUCCESS","2022-11-03T21:14:37.1601391+07:00[Asia/Jakarta]","0.0","36.95"
"Transaction","View Transaction List","SUCCESS","2022-11-03T21:15:25.0516628+07:00[Asia/Jakarta]","0.0","4.99"
